"song_id","track_name","track_artist","track_popularity","track_album_name","release_day","release_month","release_year","playlist_name","playlist_genre","playlist_sub_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"3tcl0dycmyr0kyttc4nlgi_3tcl0dycmyr0kyttc4nlgi_3tcl0dycmyr0kyttc4nlgi","who says","selena gomez & the scene","74","when the sun goes down",1,1,"2011","post teen pop","pop","post-teen pop","0.682","0.927","4","-2.915","1","0.0479","0.0843","2.60185777966399","0.149","0.744","101.019","195613"
"0hnhoqbeqol4yuz4so6xbe_0hnhoqbeqol4yuz4so6xbe_0hnhoqbeqol4yuz4so6xbe","calling all the monsters","china anne mcclain","47","calling all the monsters",1,1,"2011","post teen pop","pop","post-teen pop","0.56","0.826","6","-5.866","0","0.0976","0.00272","9.33752876250073","0.487","0.492","141.974","206676"
"48qkqo6hgig8vln4cpyb37_48qkqo6hgig8vln4cpyb37_48qkqo6hgig8vln4cpyb37","magic","selena gomez","47","wizards of waverly place",1,1,"2009","post teen pop","pop","post-teen pop","0.602","0.922","11","-3.061","0","0.0386","0.00632","0","0.284","0.396","104.101","169733"
"4tsxpqc5oy6xbkuslpym6g_4tsxpqc5oy6xbkuslpym6g_4tsxpqc5oy6xbkuslpym6g","boombox","laura marano","47","boombox",11,3,"2016","post teen pop","pop","post-teen pop","0.6","0.809","9","-4.982","1","0.164","0.0176","0","0.139","0.61","127.981","196303"
"5y6pj7oebff0cvgzkhrbog_5y6pj7oebff0cvgzkhrbog_5y6pj7oebff0cvgzkhrbog","black magic","little mix","76","get weird (deluxe)",6,11,"2015","post teen pop","pop","post-teen pop","0.777","0.895","4","-4.464","1","0.0618","0.0348","0","0.317","0.826","111.987","211773"
"3vrw4mwkszwdflcmjfpkv2_3vrw4mwkszwdflcmjfpkv2_3vrw4mwkszwdflcmjfpkv2","por fin ya veo la luz","carmen lopez","41","enredados (rapunzel) ost",1,1,"2011","post teen pop","pop","post-teen pop","0.31","0.167","5","-14.525","1","0.029","0.856","0","0.0766","0.226","98.343","224227"
"0wso4mjcg5ncw261pgqhao_0wso4mjcg5ncw261pgqhao_0wso4mjcg5ncw261pgqhao","cuando mi vida va a comenzar","carmen lopez","37","enredados (rapunzel) ost",1,1,"2011","post teen pop","pop","post-teen pop","0.698","0.458","4","-6.853","1","0.0295","0.183","0","0.0906","0.526","108.025","152333"
"5ajlzb3pgr7fm3dwtel6wt_5ajlzb3pgr7fm3dwtel6wt_5ajlzb3pgr7fm3dwtel6wt","el ritmo de la selva","fernando garcia baro","27","the jungle book 2 original soundtrack",1,1,"2003","post teen pop","pop","post-teen pop","0.379","0.502","10","-10.027","0","0.163","0.461","0","0.557","0.759","203.425","184920"
"0zqy0ttercqwsfgzfmwmng_0zqy0ttercqwsfgzfmwmng_0zqy0ttercqwsfgzfmwmng","la bella y la bestia","marta martorell","37","la bella y la bestia (edicion especial/banda sonora original)",1,1,"2002","post teen pop","pop","post-teen pop","0.225","0.0917","5","-20.384","0","0.0385","0.916","0.000914","0.153","0.152","86.34","163840"
"2y8rzob5ijbt233kascihn_2y8rzob5ijbt233kascihn_2y8rzob5ijbt233kascihn","introducing me","nick jonas","49","camp rock 2: the final jam",1,1,"2010","post teen pop","pop","post-teen pop","0.509","0.495","11","-6.073","1","0.0515","0.491","0","0.0773","0.684","112.893","187627"
